Name of Society,Address,State,District,Date of Registration,Area of Operation,Sector Type,Latitude,Longitude
saharayn universal multipurose society limited,"At & P.O. Railway Colony, Gorakkhpur, District-Gorakhpur Uttar Pradesh",UTTAR PRADESH,KUSHI NAGAR,,"Haryana, UttarPradesh, Himachal, Punjab",Credit,27.1303344,80.859666
JMJ Multi State Agro Cooperative Society Ltd.,"TC 48/1442-1, Sreeniva, Parekkati House, Chathankulangara Temple South, Puthurkkara, Ayyanthole, Thrissur 680003 Kerala",KERALA,THRISSUR,13-10-2022,"Bihar, West bengal, Odisha",Agro,10.3528744,76.5120396
Devbhoomi Agro Multi State Cooperative Society Ltd.,"S/o Sateesh Kumar, Tejupur, Haridwar, Uttarakhand 247661",UTTARAKHAND,Haridwar,10-04-2022,"Tamil Nadu, karnataks",Agro,30.0417376,79.089691
Aarya Multi Specialty Cooperative Hospital and Hospital and Research Center ltd.,"Gate No 165, Nimgaon (T), Madha, Solapur, 413210 maharashtra",MAHARASHTRA,SOLAPUR,10-04-2022,"Haryana, Punajb",Health/Hospital,18.9068356,75.6741579
Agriculture Development Cooperative Federation,"A/P 344, Lower Ground Floor, Sector 86, Preet City, SAS Nagar, Mohali, Punjab
160055",PUNJAB,Mohali,22-09-2022,"Manipur, Meghalaya",Federation,30.9293211,75.5004841
Prosperity Multi State Housing Cooperative Society ltd.,"Jayem Arcade 385 A6, First Floor,
Kamarajar Road, Peelamedu, Coimbatore 641004",TAMIL NADU,COIMBATORE,15-09-2022,"Maharashtra, Gujarat, Rajasthan",Housing,10.9094334,78.3665347
Greenfield Multi State Agro Allied and Marketing Cooperative Society Ltd. (GMAAMCS),"Plot No 92, H.No 4-487, New Balaji Nagar Colony, Meerpet, Behind Janapriya Apartments, Hyderabad 500097 Telangana",TELANGANA,HYDERABAD,09-12-2022,"Gujarat, Rajasthan",Agro,17.8495919,79.1151663
Shri Sharda Agro Multi State Co- operative Society Ltd.,Shri Sharda Agro Multi State Co-operative Society Ltd.,UTTAR PRADESH,,09-02-2022,"Maharashtra,Goa.Karnataka, Andhra Pradesh",Agro,27.1303344,80.859666
Nature Delight Multi State Cooperative Dairy & Agro Products Ltd.,"Kalas Gate, No 1189, A/P Kalas, Indapur, Pune 413105 Maharashtra",MAHARASHTRA,Pune,31-08-2022,"Andhra Pradesh, Telangna",Agro,18.9068356,75.6741579
Travancore Cochin Tourism Cooperative Society Ltd,"Idukki, Kerala 685584",KERALA,IDUKKI,31-08-2022,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Tourism,10.3528744,76.5120396
Janamaitheri Agricultural Cooperative Society Ltd.,Janamaitheri Agricultural Cooperative Society Ltd.,KERALA,THIRUVANANTHAPURAM,16-08-2022,"Maharashtra, Gujarat, Rajasthan",Agro,10.3528744,76.5120396
Swaraj Multipurpose Federation of Cooperative Society Ltd,"Shop No 2, Yadav Market, Opposite Radha Ballav mandir, Palla Chowk, Tilak Road,
Faridabad 121001 Haryana",HARYANA,FRIDABAD,16-08-2022,"Gujarat, Rajasthan",Federation,29,76
Green Safe Multi State Agriculture Cooperative Society Ltd.,"Coimbatore, Tamil Nadu",TAMIL NADU,COIMBATORE,08-12-2022,"Haryana, Delhi",Agro,10.9094334,78.3665347
Mango Growers cooperative society Ltd. (MANCO),Visakhapatnam,ANDHRA PRADESH,VISAKHAPATANAM,08-10-2022,"Haryana, Delhi, UttarPradesh, ",Agro,15.9240905,80.1863809
Srijan Krishi Vipnan Multi State Cooperative Society Ltd.,Lucknow,UTTAR PRADESH,LUCKNOW,29-07-2022,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Agro,27.1303344,80.859666
Kamal Multispeciality Cooperative Hospital & Research center Ltd.,Beed Maharashtra,MAHARASHTRA,BEED,22-07-2022,"Maharashtra, Gujarat, Rajasthan",Health/Hospital,18.9068356,75.6741579
Nagebaba Multi Specialty Cooperative Hospital and Research Center Ltd.,Ahmednagar,MAHARASHTRA,AHMEDNAGAR,24-06-2022,"Haryana, Punjab, Rajasthan",Health/Hospital,18.9068356,75.6741579
The Urban Care Multi State Agro Cooperative Society Ltd.,Kerala,KERALA,KOZHIKODE,27-06-2022,"Haryana, Rajasthan",Agro,10.3528744,76.5120396
Bharathikerkar Fishermen Cooperative Ltd. (BHARATHIKERKAR),Kerala,KERALA,THRISSUR,27-06-2022,"Gujarat, Rajasthan, Haryana, Delhi",Fisheries,10.3528744,76.5120396
Swayam Samruddhi Multi State Cooperative Society Ltd.,"Hyderabad, Telangana",TELANGANA,HYDERABAD,15-06-2022,"Kerala, karnataka, Maharashtra, Gujarat",Agro,17.8495919,79.1151663
"Shree Sai Seva Multi Specialty
Cooperative Hospital and Research center ltd","Ahmednagar, Maharashtra",MAHARASHTRA,AHMEDNAGAR,15-06-2022,"Maharashtra, Karnataka, Tamil nadu",Health/Hospital,18.9068356,75.6741579
Venkateshwara Multi State Multi Specialty Hospital and Research Ltd.,Maharashtra,MAHARASHTRA,NASIK,06-08-2022,"Haryana, Gujarat, Maharashtra, Delhi",Health/Hospital,18.9068356,75.6741579
"Bharathimanass labour and
Construction Cooperative Ltd.",Manipur,MANIPUR,BISHNUPUR,06-06-2022,"West bengal, Andhra Pradesh",Construction,24.7208818,93.9229386
Kairali Agriculture Multi State Cooperative Society Ltd.,Kerala,KERALA,THRISSUR,06-06-2022,"Maharashtra, Gujarat, Rajasthan",Agro,10.3528744,76.5120396
Jewan Kothi Multi State Agro Cooperative Society Ltd.,Uttar Pradesh,UTTAR PRADESH,BASTI,06-06-2022,"Haryana, UttarPradesh, Himachal, Punjab",Agro,27.1303344,80.859666
"Bharathimanass Agriculture
Cooperative Ltd. (BHARATHIMANAS)",Manipur,MANIPUR,BISHNUPUR,06-03-2022,"Bihar, West bengal, Odisha",Agro,24.7208818,93.9229386
"Youth Employability Skill Training
Cooperative Educational Society Ltd.",PATHANAMTHITTA,KERALA,ERNAKULAM,06-02-2022,"Tamil Nadu, karnataks",Others,10.3528744,76.5120396
Jai Ratnagarbha Agriculture Multi State Cooperative Society Ltd.,"Prayag Raj, uttar Pradesh",UTTAR PRADESH,BAREILLY,28-05-2022,"Haryana, Punajb",Agro,27.1303344,80.859666
"Shikharji Multi State Agro Processing and Marketing Cooperative Society
Ltd","Buldana, Maharashtra",MAHARASHTRA,BULDHANA,27-05-2022,"Manipur, Meghalaya",Agro,18.9068356,75.6741579
News Agriculture Export & Marketing Cooperative society Ltd.,"Kalkaji, Delhi",NEW DELHI,NEW DELHI,21-05-2022,"Maharashtra, Gujarat, Rajasthan",Agro,28.6138954,77.2090057
Krashnadi Multi State Vehicle Services Cooperative Society Ltd.,"Beed, maharashtra",MAHARASHTRA,BEED,05-12-2022,"Gujarat, Rajasthan",Others,18.9068356,75.6741579
