Name of Society,Address,State,District,Date of Registration,Area of Operation_x,Sector Type,Area of Operation_y
saharayn universal multipurose society limited,"At & P.O. Railway Colony, Gorakkhpur, District-Gorakhpur Uttar Pradesh",UTTAR PRADESH,KUSHI NAGAR,,"Haryana, UttarPradesh, Himachal, Punjab",Credit,haryana
saharayn universal multipurose society limited,"At & P.O. Railway Colony, Gorakkhpur, District-Gorakhpur Uttar Pradesh",UTTAR PRADESH,KUSHI NAGAR,,"Haryana, UttarPradesh, Himachal, Punjab",Credit,uttarpradesh
saharayn universal multipurose society limited,"At & P.O. Railway Colony, Gorakkhpur, District-Gorakhpur Uttar Pradesh",UTTAR PRADESH,KUSHI NAGAR,,"Haryana, UttarPradesh, Himachal, Punjab",Credit,himachal pradesh
saharayn universal multipurose society limited,"At & P.O. Railway Colony, Gorakkhpur, District-Gorakhpur Uttar Pradesh",UTTAR PRADESH,KUSHI NAGAR,,"Haryana, UttarPradesh, Himachal, Punjab",Credit,punjab
JMJ Multi State Agro Cooperative Society Ltd.,"TC 48/1442-1, Sreeniva, Parekkati House, Chathankulangara Temple South, Puthurkkara, Ayyanthole, Thrissur 680003 Kerala",KERALA,THRISSUR,2022-10-13,"Bihar, West bengal, Odisha",Agro,bihar
JMJ Multi State Agro Cooperative Society Ltd.,"TC 48/1442-1, Sreeniva, Parekkati House, Chathankulangara Temple South, Puthurkkara, Ayyanthole, Thrissur 680003 Kerala",KERALA,THRISSUR,2022-10-13,"Bihar, West bengal, Odisha",Agro,west bengal
JMJ Multi State Agro Cooperative Society Ltd.,"TC 48/1442-1, Sreeniva, Parekkati House, Chathankulangara Temple South, Puthurkkara, Ayyanthole, Thrissur 680003 Kerala",KERALA,THRISSUR,2022-10-13,"Bihar, West bengal, Odisha",Agro,odisha
Devbhoomi Agro Multi State Cooperative Society Ltd.,"S/o Sateesh Kumar, Tejupur, Haridwar, Uttarakhand 247661",UTTARAKHAND,Haridwar,2022-04-10,"Tamil Nadu, karnataks",Agro,tamil nadu
Devbhoomi Agro Multi State Cooperative Society Ltd.,"S/o Sateesh Kumar, Tejupur, Haridwar, Uttarakhand 247661",UTTARAKHAND,Haridwar,2022-04-10,"Tamil Nadu, karnataks",Agro,karnataks
Aarya Multi Specialty Cooperative Hospital and Hospital and Research Center ltd.,"Gate No 165, Nimgaon (T), Madha, Solapur, 413210 maharashtra",MAHARASHTRA,SOLAPUR,2022-04-10,"Haryana, Punajb",Health/Hospital,haryana
Aarya Multi Specialty Cooperative Hospital and Hospital and Research Center ltd.,"Gate No 165, Nimgaon (T), Madha, Solapur, 413210 maharashtra",MAHARASHTRA,SOLAPUR,2022-04-10,"Haryana, Punajb",Health/Hospital,punajb
Agriculture Development Cooperative Federation,"A/P 344, Lower Ground Floor, Sector 86, Preet City, SAS Nagar, Mohali, Punjab
160055",PUNJAB,Mohali,2022-09-22,"Manipur, Meghalaya",Federation,manipur
Agriculture Development Cooperative Federation,"A/P 344, Lower Ground Floor, Sector 86, Preet City, SAS Nagar, Mohali, Punjab
160055",PUNJAB,Mohali,2022-09-22,"Manipur, Meghalaya",Federation,meghalaya
Prosperity Multi State Housing Cooperative Society ltd.,"Jayem Arcade 385 A6, First Floor,
Kamarajar Road, Peelamedu, Coimbatore 641004",TAMIL NADU,COIMBATORE,2022-09-15,"Maharashtra, Gujarat, Rajasthan",Housing,maharashtra
Prosperity Multi State Housing Cooperative Society ltd.,"Jayem Arcade 385 A6, First Floor,
Kamarajar Road, Peelamedu, Coimbatore 641004",TAMIL NADU,COIMBATORE,2022-09-15,"Maharashtra, Gujarat, Rajasthan",Housing,gujarat
Prosperity Multi State Housing Cooperative Society ltd.,"Jayem Arcade 385 A6, First Floor,
Kamarajar Road, Peelamedu, Coimbatore 641004",TAMIL NADU,COIMBATORE,2022-09-15,"Maharashtra, Gujarat, Rajasthan",Housing,rajasthan
Greenfield Multi State Agro Allied and Marketing Cooperative Society Ltd. (GMAAMCS),"Plot No 92, H.No 4-487, New Balaji Nagar Colony, Meerpet, Behind Janapriya Apartments, Hyderabad 500097 Telangana",TELANGANA,HYDERABAD,2022-12-09,"Gujarat, Rajasthan",Agro,gujarat
Greenfield Multi State Agro Allied and Marketing Cooperative Society Ltd. (GMAAMCS),"Plot No 92, H.No 4-487, New Balaji Nagar Colony, Meerpet, Behind Janapriya Apartments, Hyderabad 500097 Telangana",TELANGANA,HYDERABAD,2022-12-09,"Gujarat, Rajasthan",Agro,rajasthan
Shri Sharda Agro Multi State Co- operative Society Ltd.,Shri Sharda Agro Multi State Co-operative Society Ltd.,UTTAR PRADESH,,2022-02-09,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Agro,maharashtra
Shri Sharda Agro Multi State Co- operative Society Ltd.,Shri Sharda Agro Multi State Co-operative Society Ltd.,UTTAR PRADESH,,2022-02-09,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Agro,goa
Shri Sharda Agro Multi State Co- operative Society Ltd.,Shri Sharda Agro Multi State Co-operative Society Ltd.,UTTAR PRADESH,,2022-02-09,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Agro,karnataka
Shri Sharda Agro Multi State Co- operative Society Ltd.,Shri Sharda Agro Multi State Co-operative Society Ltd.,UTTAR PRADESH,,2022-02-09,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Agro,andhra pradesh
Nature Delight Multi State Cooperative Dairy & Agro Products Ltd.,"Kalas Gate, No 1189, A/P Kalas, Indapur, Pune 413105 Maharashtra",MAHARASHTRA,Pune,2022-08-31,"Andhra Pradesh, Telangna",Agro,andhra pradesh
Nature Delight Multi State Cooperative Dairy & Agro Products Ltd.,"Kalas Gate, No 1189, A/P Kalas, Indapur, Pune 413105 Maharashtra",MAHARASHTRA,Pune,2022-08-31,"Andhra Pradesh, Telangna",Agro,telangna
Travancore Cochin Tourism Cooperative Society Ltd,"Idukki, Kerala 685584",KERALA,IDUKKI,2022-08-31,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Tourism,madhya pradesh
Travancore Cochin Tourism Cooperative Society Ltd,"Idukki, Kerala 685584",KERALA,IDUKKI,2022-08-31,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Tourism,chhattisgarh
Travancore Cochin Tourism Cooperative Society Ltd,"Idukki, Kerala 685584",KERALA,IDUKKI,2022-08-31,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Tourism,jharkhand
Travancore Cochin Tourism Cooperative Society Ltd,"Idukki, Kerala 685584",KERALA,IDUKKI,2022-08-31,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Tourism,bihar
Janamaitheri Agricultural Cooperative Society Ltd.,Janamaitheri Agricultural Cooperative Society Ltd.,KERALA,THIRUVANANTHAPURAM,2022-08-16,"Maharashtra, Gujarat, Rajasthan",Agro,maharashtra
Janamaitheri Agricultural Cooperative Society Ltd.,Janamaitheri Agricultural Cooperative Society Ltd.,KERALA,THIRUVANANTHAPURAM,2022-08-16,"Maharashtra, Gujarat, Rajasthan",Agro,gujarat
Janamaitheri Agricultural Cooperative Society Ltd.,Janamaitheri Agricultural Cooperative Society Ltd.,KERALA,THIRUVANANTHAPURAM,2022-08-16,"Maharashtra, Gujarat, Rajasthan",Agro,rajasthan
Swaraj Multipurpose Federation of Cooperative Society Ltd,"Shop No 2, Yadav Market, Opposite Radha Ballav mandir, Palla Chowk, Tilak Road,
Faridabad 121001 Haryana",HARYANA,FRIDABAD,2022-08-16,"Gujarat, Rajasthan",Federation,gujarat
Swaraj Multipurpose Federation of Cooperative Society Ltd,"Shop No 2, Yadav Market, Opposite Radha Ballav mandir, Palla Chowk, Tilak Road,
Faridabad 121001 Haryana",HARYANA,FRIDABAD,2022-08-16,"Gujarat, Rajasthan",Federation,rajasthan
Green Safe Multi State Agriculture Cooperative Society Ltd.,"Coimbatore, Tamil Nadu",TAMIL NADU,COIMBATORE,2022-12-08,"Haryana, Delhi",Agro,haryana
Green Safe Multi State Agriculture Cooperative Society Ltd.,"Coimbatore, Tamil Nadu",TAMIL NADU,COIMBATORE,2022-12-08,"Haryana, Delhi",Agro,delhi
Mango Growers cooperative society Ltd. (MANCO),Visakhapatnam,ANDHRA PRADESH,VISAKHAPATANAM,2022-10-08,"Haryana, Delhi, UttarPradesh, ",Agro,haryana
Mango Growers cooperative society Ltd. (MANCO),Visakhapatnam,ANDHRA PRADESH,VISAKHAPATANAM,2022-10-08,"Haryana, Delhi, UttarPradesh, ",Agro,delhi
Mango Growers cooperative society Ltd. (MANCO),Visakhapatnam,ANDHRA PRADESH,VISAKHAPATANAM,2022-10-08,"Haryana, Delhi, UttarPradesh, ",Agro,uttarpradesh
Srijan Krishi Vipnan Multi State Cooperative Society Ltd.,Lucknow,UTTAR PRADESH,LUCKNOW,2022-07-29,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Agro,uttrakhand
Srijan Krishi Vipnan Multi State Cooperative Society Ltd.,Lucknow,UTTAR PRADESH,LUCKNOW,2022-07-29,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Agro,himachal pradesh
Srijan Krishi Vipnan Multi State Cooperative Society Ltd.,Lucknow,UTTAR PRADESH,LUCKNOW,2022-07-29,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Agro,jammu & kashmir
Kamal Multispeciality Cooperative Hospital & Research center Ltd.,Beed Maharashtra,MAHARASHTRA,BEED,2022-07-22,"Maharashtra, Gujarat, Rajasthan",Health/Hospital,maharashtra
Kamal Multispeciality Cooperative Hospital & Research center Ltd.,Beed Maharashtra,MAHARASHTRA,BEED,2022-07-22,"Maharashtra, Gujarat, Rajasthan",Health/Hospital,gujarat
Kamal Multispeciality Cooperative Hospital & Research center Ltd.,Beed Maharashtra,MAHARASHTRA,BEED,2022-07-22,"Maharashtra, Gujarat, Rajasthan",Health/Hospital,rajasthan
Nagebaba Multi Specialty Cooperative Hospital and Research Center Ltd.,Ahmednagar,MAHARASHTRA,AHMEDNAGAR,2022-06-24,"Haryana, Punjab, Rajasthan",Health/Hospital,haryana
Nagebaba Multi Specialty Cooperative Hospital and Research Center Ltd.,Ahmednagar,MAHARASHTRA,AHMEDNAGAR,2022-06-24,"Haryana, Punjab, Rajasthan",Health/Hospital,punjab
Nagebaba Multi Specialty Cooperative Hospital and Research Center Ltd.,Ahmednagar,MAHARASHTRA,AHMEDNAGAR,2022-06-24,"Haryana, Punjab, Rajasthan",Health/Hospital,rajasthan
The Urban Care Multi State Agro Cooperative Society Ltd.,Kerala,KERALA,KOZHIKODE,2022-06-27,"Haryana, Rajasthan",Agro,haryana
The Urban Care Multi State Agro Cooperative Society Ltd.,Kerala,KERALA,KOZHIKODE,2022-06-27,"Haryana, Rajasthan",Agro,rajasthan
Bharathikerkar Fishermen Cooperative Ltd. (BHARATHIKERKAR),Kerala,KERALA,THRISSUR,2022-06-27,"Gujarat, Rajasthan, Haryana, Delhi",Fisheries,gujarat
Bharathikerkar Fishermen Cooperative Ltd. (BHARATHIKERKAR),Kerala,KERALA,THRISSUR,2022-06-27,"Gujarat, Rajasthan, Haryana, Delhi",Fisheries,rajasthan
Bharathikerkar Fishermen Cooperative Ltd. (BHARATHIKERKAR),Kerala,KERALA,THRISSUR,2022-06-27,"Gujarat, Rajasthan, Haryana, Delhi",Fisheries,haryana
Bharathikerkar Fishermen Cooperative Ltd. (BHARATHIKERKAR),Kerala,KERALA,THRISSUR,2022-06-27,"Gujarat, Rajasthan, Haryana, Delhi",Fisheries,delhi
Swayam Samruddhi Multi State Cooperative Society Ltd.,"Hyderabad, Telangana",TELANGANA,HYDERABAD,2022-06-15,"Kerala, karnataka, Maharashtra, Gujarat",Agro,kerala
Swayam Samruddhi Multi State Cooperative Society Ltd.,"Hyderabad, Telangana",TELANGANA,HYDERABAD,2022-06-15,"Kerala, karnataka, Maharashtra, Gujarat",Agro,karnataka
Swayam Samruddhi Multi State Cooperative Society Ltd.,"Hyderabad, Telangana",TELANGANA,HYDERABAD,2022-06-15,"Kerala, karnataka, Maharashtra, Gujarat",Agro,maharashtra
Swayam Samruddhi Multi State Cooperative Society Ltd.,"Hyderabad, Telangana",TELANGANA,HYDERABAD,2022-06-15,"Kerala, karnataka, Maharashtra, Gujarat",Agro,gujarat
"Shree Sai Seva Multi Specialty
Cooperative Hospital and Research center ltd","Ahmednagar, Maharashtra",MAHARASHTRA,AHMEDNAGAR,2022-06-15,"Maharashtra, Karnataka, Tamil nadu",Health/Hospital,maharashtra
"Shree Sai Seva Multi Specialty
Cooperative Hospital and Research center ltd","Ahmednagar, Maharashtra",MAHARASHTRA,AHMEDNAGAR,2022-06-15,"Maharashtra, Karnataka, Tamil nadu",Health/Hospital,karnataka
"Shree Sai Seva Multi Specialty
Cooperative Hospital and Research center ltd","Ahmednagar, Maharashtra",MAHARASHTRA,AHMEDNAGAR,2022-06-15,"Maharashtra, Karnataka, Tamil nadu",Health/Hospital,tamil nadu
Venkateshwara Multi State Multi Specialty Hospital and Research Ltd.,Maharashtra,MAHARASHTRA,NASIK,2022-08-06,"Haryana, Gujarat, Maharashtra, Delhi",Health/Hospital,haryana
Venkateshwara Multi State Multi Specialty Hospital and Research Ltd.,Maharashtra,MAHARASHTRA,NASIK,2022-08-06,"Haryana, Gujarat, Maharashtra, Delhi",Health/Hospital,gujarat
Venkateshwara Multi State Multi Specialty Hospital and Research Ltd.,Maharashtra,MAHARASHTRA,NASIK,2022-08-06,"Haryana, Gujarat, Maharashtra, Delhi",Health/Hospital,maharashtra
Venkateshwara Multi State Multi Specialty Hospital and Research Ltd.,Maharashtra,MAHARASHTRA,NASIK,2022-08-06,"Haryana, Gujarat, Maharashtra, Delhi",Health/Hospital,delhi
"Bharathimanass labour and
Construction Cooperative Ltd.",Manipur,MANIPUR,BISHNUPUR,2022-06-06,"West bengal, Andhra Pradesh",Construction,west bengal
"Bharathimanass labour and
Construction Cooperative Ltd.",Manipur,MANIPUR,BISHNUPUR,2022-06-06,"West bengal, Andhra Pradesh",Construction,andhra pradesh
Kairali Agriculture Multi State Cooperative Society Ltd.,Kerala,KERALA,THRISSUR,2022-06-06,"Maharashtra, Gujarat, Rajasthan",Agro,maharashtra
Kairali Agriculture Multi State Cooperative Society Ltd.,Kerala,KERALA,THRISSUR,2022-06-06,"Maharashtra, Gujarat, Rajasthan",Agro,gujarat
Kairali Agriculture Multi State Cooperative Society Ltd.,Kerala,KERALA,THRISSUR,2022-06-06,"Maharashtra, Gujarat, Rajasthan",Agro,rajasthan
Jewan Kothi Multi State Agro Cooperative Society Ltd.,Uttar Pradesh,UTTAR PRADESH,BASTI,2022-06-06,"Haryana, UttarPradesh, Himachal, Punjab",Agro,haryana
Jewan Kothi Multi State Agro Cooperative Society Ltd.,Uttar Pradesh,UTTAR PRADESH,BASTI,2022-06-06,"Haryana, UttarPradesh, Himachal, Punjab",Agro,uttarpradesh
Jewan Kothi Multi State Agro Cooperative Society Ltd.,Uttar Pradesh,UTTAR PRADESH,BASTI,2022-06-06,"Haryana, UttarPradesh, Himachal, Punjab",Agro,himachal pradesh
Jewan Kothi Multi State Agro Cooperative Society Ltd.,Uttar Pradesh,UTTAR PRADESH,BASTI,2022-06-06,"Haryana, UttarPradesh, Himachal, Punjab",Agro,punjab
"Bharathimanass Agriculture
Cooperative Ltd. (BHARATHIMANAS)",Manipur,MANIPUR,BISHNUPUR,2022-03-06,"Bihar, West bengal, Odisha",Agro,bihar
"Bharathimanass Agriculture
Cooperative Ltd. (BHARATHIMANAS)",Manipur,MANIPUR,BISHNUPUR,2022-03-06,"Bihar, West bengal, Odisha",Agro,west bengal
"Bharathimanass Agriculture
Cooperative Ltd. (BHARATHIMANAS)",Manipur,MANIPUR,BISHNUPUR,2022-03-06,"Bihar, West bengal, Odisha",Agro,odisha
"Youth Employability Skill Training
Cooperative Educational Society Ltd.",PATHANAMTHITTA,KERALA,ERNAKULAM,2022-02-06,"Tamil Nadu, karnataks",Others,tamil nadu
"Youth Employability Skill Training
Cooperative Educational Society Ltd.",PATHANAMTHITTA,KERALA,ERNAKULAM,2022-02-06,"Tamil Nadu, karnataks",Others,karnataks
Jai Ratnagarbha Agriculture Multi State Cooperative Society Ltd.,"Prayag Raj, uttar Pradesh",UTTAR PRADESH,BAREILLY,2022-05-28,"Haryana, Punajb",Agro,haryana
Jai Ratnagarbha Agriculture Multi State Cooperative Society Ltd.,"Prayag Raj, uttar Pradesh",UTTAR PRADESH,BAREILLY,2022-05-28,"Haryana, Punajb",Agro,punajb
"Shikharji Multi State Agro Processing and Marketing Cooperative Society
Ltd","Buldana, Maharashtra",MAHARASHTRA,BULDHANA,2022-05-27,"Manipur, Meghalaya",Agro,manipur
"Shikharji Multi State Agro Processing and Marketing Cooperative Society
Ltd","Buldana, Maharashtra",MAHARASHTRA,BULDHANA,2022-05-27,"Manipur, Meghalaya",Agro,meghalaya
News Agriculture Export & Marketing Cooperative society Ltd.,"Kalkaji, Delhi",NEW DELHI,NEW DELHI,2022-05-21,"Maharashtra, Gujarat, Rajasthan",Agro,maharashtra
News Agriculture Export & Marketing Cooperative society Ltd.,"Kalkaji, Delhi",NEW DELHI,NEW DELHI,2022-05-21,"Maharashtra, Gujarat, Rajasthan",Agro,gujarat
News Agriculture Export & Marketing Cooperative society Ltd.,"Kalkaji, Delhi",NEW DELHI,NEW DELHI,2022-05-21,"Maharashtra, Gujarat, Rajasthan",Agro,rajasthan
Krashnadi Multi State Vehicle Services Cooperative Society Ltd.,"Beed, maharashtra",MAHARASHTRA,BEED,2022-12-05,"Gujarat, Rajasthan",Others,gujarat
Krashnadi Multi State Vehicle Services Cooperative Society Ltd.,"Beed, maharashtra",MAHARASHTRA,BEED,2022-12-05,"Gujarat, Rajasthan",Others,rajasthan
Lotus Multi Specialty Cooperative Hospital and Research Center Ltd.,"Osmanabad, Maharashtra",MAHARASHTRA,BEED,2022-04-27,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Health/Hospital,maharashtra
Lotus Multi Specialty Cooperative Hospital and Research Center Ltd.,"Osmanabad, Maharashtra",MAHARASHTRA,BEED,2022-04-27,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Health/Hospital,goa
Lotus Multi Specialty Cooperative Hospital and Research Center Ltd.,"Osmanabad, Maharashtra",MAHARASHTRA,BEED,2022-04-27,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Health/Hospital,karnataka
Lotus Multi Specialty Cooperative Hospital and Research Center Ltd.,"Osmanabad, Maharashtra",MAHARASHTRA,BEED,2022-04-27,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Health/Hospital,andhra pradesh
Keshavraj Multi Speciality Cooperative Hospital & Research Centre Ltd,"Osmanabad, Maharashtra",MAHARASHTRA,OSMANABAD,2022-04-27,"Andhra Pradesh, Telangna",Health/Hospital,andhra pradesh
Keshavraj Multi Speciality Cooperative Hospital & Research Centre Ltd,"Osmanabad, Maharashtra",MAHARASHTRA,OSMANABAD,2022-04-27,"Andhra Pradesh, Telangna",Health/Hospital,telangna
Keshavraj Multi Speciality Cooperative Hospital & Research Centre Ltd,"Kolhaour, Maharashtra",MAHARASHTRA,KOLHAPUR,2022-04-27,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Health/Hospital,madhya pradesh
Keshavraj Multi Speciality Cooperative Hospital & Research Centre Ltd,"Kolhaour, Maharashtra",MAHARASHTRA,KOLHAPUR,2022-04-27,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Health/Hospital,chhattisgarh
Keshavraj Multi Speciality Cooperative Hospital & Research Centre Ltd,"Kolhaour, Maharashtra",MAHARASHTRA,KOLHAPUR,2022-04-27,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Health/Hospital,jharkhand
Keshavraj Multi Speciality Cooperative Hospital & Research Centre Ltd,"Kolhaour, Maharashtra",MAHARASHTRA,KOLHAPUR,2022-04-27,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Health/Hospital,bihar
Vanashri Cooperative Power & Agro Progressive ltd,"Sangli , Maharashtra",MAHARASHTRA,SANGLI,2022-04-26,"Maharashtra, Gujarat, Rajasthan",Agro,maharashtra
Vanashri Cooperative Power & Agro Progressive ltd,"Sangli , Maharashtra",MAHARASHTRA,SANGLI,2022-04-26,"Maharashtra, Gujarat, Rajasthan",Agro,gujarat
Vanashri Cooperative Power & Agro Progressive ltd,"Sangli , Maharashtra",MAHARASHTRA,SANGLI,2022-04-26,"Maharashtra, Gujarat, Rajasthan",Agro,rajasthan
"Samrudh Marathwada Multi State
Vehicle Services Cooperative Society Ltd.","Beed, maharashtra",MAHARASHTRA,BEED,2022-04-20,"Gujarat, Rajasthan",Others,gujarat
"Samrudh Marathwada Multi State
Vehicle Services Cooperative Society Ltd.","Beed, maharashtra",MAHARASHTRA,BEED,2022-04-20,"Gujarat, Rajasthan",Others,rajasthan
"Bharathiyajkl Machuwara Samudaay Cooperative Ltd.
(BHARATHIJKLMASACO)","Baramulla, Kashmir",JAMMU AND KASHMIR,BADGAM,2022-04-18,"Haryana, Delhi",Fisheries,haryana
"Bharathiyajkl Machuwara Samudaay Cooperative Ltd.
(BHARATHIJKLMASACO)","Baramulla, Kashmir",JAMMU AND KASHMIR,BADGAM,2022-04-18,"Haryana, Delhi",Fisheries,delhi
Prestige Agro Multi State Cooperative Society Ltd,Uttar Pradesh,UTTAR PRADESH,BULANDSHAHR,2022-01-04,"Haryana, Delhi, UttarPradesh, ",Agro,haryana
Prestige Agro Multi State Cooperative Society Ltd,Uttar Pradesh,UTTAR PRADESH,BULANDSHAHR,2022-01-04,"Haryana, Delhi, UttarPradesh, ",Agro,delhi
Prestige Agro Multi State Cooperative Society Ltd,Uttar Pradesh,UTTAR PRADESH,BULANDSHAHR,2022-01-04,"Haryana, Delhi, UttarPradesh, ",Agro,uttarpradesh
Vidhata Hamal Multi State Cooperative Society Ltd,"Bhandara, Maharashtra",MAHARASHTRA,BHANDARA,2022-01-04,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Agro,uttrakhand
Vidhata Hamal Multi State Cooperative Society Ltd,"Bhandara, Maharashtra",MAHARASHTRA,BHANDARA,2022-01-04,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Agro,himachal pradesh
Vidhata Hamal Multi State Cooperative Society Ltd,"Bhandara, Maharashtra",MAHARASHTRA,BHANDARA,2022-01-04,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Agro,jammu & kashmir
"Dr Appasahed Urf Sa. Re. Patil
Jayysinghpur Udgaon Sahakari Bank Ltd","Kolhapur, maharashtra",MAHARASHTRA,KOLHAPUR,2022-01-04,"Maharashtra, Gujarat, Rajasthan",Cooperative Bank,maharashtra
